Num;Start;End;Status;Temp
41;0;24;1;105
42;0;24;3;105
43;24;72;3;105
44;72;168;3;105
45;72;168;3;105
46;72;168;3;105
47;168;300;3;105
48;168;300;3;105
49;300;500;3;105
50;300;500;3;105
51;300;750;3;105
52;500;750;3;105
53;500;750;3;105
54;500;750;3;105
55;750;1000;3;105
56;750;1000;3;105
57;750;1000;3;105
58;750;1000;3;105
59;750;1000;3;105
60;1000;1250;3;105
61;1250;1500;3;105
62;1250;1500;3;105
63;1250;1500;3;105
64;1250;1500;3;105
65;1500;NA;0;105
66;1500;NA;0;105
67;1500;NA;0;105
68;1500;NA;0;105
69;1500;NA;0;105
70;1500;NA;0;105
71;1500;NA;0;105
72;1500;NA;0;105
73;1500;NA;0;105
74;1500;NA;0;105
75;1500;NA;0;105
76;1500;NA;0;105
77;1500;NA;0;105
78;1500;NA;0;105
79;1500;NA;0;105
80;1500;NA;0;105
