Num;Start;End;Status;Temp;Log Alpha;Beta
1;0;24;3;85;9,414741;0,7229644
2;168;300;3;85;9,414741;0,7229644
3;500;750;3;85;9,414741;0,7229644
4;500;750;3;85;9,414741;0,7229644
5;500;750;3;85;9,414741;0,7229644
6;1000;1250;3;85;9,414741;0,7229644
7;1250;1500;3;85;9,414741;0,7229644
8;1250;1500;3;85;9,414741;0,7229644
9;1500;NA;0;85;9,414741;0,7229644
10;1500;NA;0;85;9,414741;0,7229644
11;1500;NA;0;85;9,414741;0,7229644
12;1500;NA;0;85;9,414741;0,7229644
13;1500;NA;0;85;9,414741;0,7229644
14;1500;NA;0;85;9,414741;0,7229644
15;1500;NA;0;85;9,414741;0,7229644
16;1500;NA;0;85;9,414741;0,7229644
17;1500;NA;0;85;9,414741;0,7229644
18;1500;NA;0;85;9,414741;0,7229644
19;1500;NA;0;85;9,414741;0,7229644
20;1500;NA;0;85;9,414741;0,7229644
21;1500;NA;0;85;9,414741;0,7229644
22;1500;NA;0;85;9,414741;0,7229644
23;1500;NA;0;85;9,414741;0,7229644
24;1500;NA;0;85;9,414741;0,7229644
25;1500;NA;0;85;9,414741;0,7229644
26;1500;NA;0;85;9,414741;0,7229644
27;1500;NA;0;85;9,414741;0,7229644
28;1500;NA;0;85;9,414741;0,7229644
29;1500;NA;0;85;9,414741;0,7229644
30;1500;NA;0;85;9,414741;0,7229644
31;1500;NA;0;85;9,414741;0,7229644
32;1500;NA;0;85;9,414741;0,7229644
33;1500;NA;0;85;9,414741;0,7229644
34;1500;NA;0;85;9,414741;0,7229644
35;1500;NA;0;85;9,414741;0,7229644
36;1500;NA;0;85;9,414741;0,7229644
37;1500;NA;0;85;9,414741;0,7229644
38;1500;NA;0;85;9,414741;0,7229644
39;1500;NA;0;85;9,414741;0,7229644
40;1500;NA;0;85;9,414741;0,7229644
41;0;24;3;105;7,523327;0,7229644
42;0;24;3;105;7,523327;0,7229644
43;24;72;3;105;7,523327;0,7229644
44;72;168;3;105;7,523327;0,7229644
45;72;168;3;105;7,523327;0,7229644
46;72;168;3;105;7,523327;0,7229644
47;168;300;3;105;7,523327;0,7229644
48;168;300;3;105;7,523327;0,7229644
49;300;500;3;105;7,523327;0,7229644
50;300;500;3;105;7,523327;0,7229644
51;300;750;3;105;7,523327;0,7229644
52;500;750;3;105;7,523327;0,7229644
53;500;750;3;105;7,523327;0,7229644
54;500;750;3;105;7,523327;0,7229644
55;750;1000;3;105;7,523327;0,7229644
56;750;1000;3;105;7,523327;0,7229644
57;750;1000;3;105;7,523327;0,7229644
58;750;1000;3;105;7,523327;0,7229644
59;750;1000;3;105;7,523327;0,7229644
60;1000;1250;3;105;7,523327;0,7229644
61;1250;1500;3;105;7,523327;0,7229644
62;1250;1500;3;105;7,523327;0,7229644
63;1250;1500;3;105;7,523327;0,7229644
64;1250;1500;3;105;7,523327;0,7229644
65;1500;NA;0;105;7,523327;0,7229644
66;1500;NA;0;105;7,523327;0,7229644
67;1500;NA;0;105;7,523327;0,7229644
68;1500;NA;0;105;7,523327;0,7229644
69;1500;NA;0;105;7,523327;0,7229644
70;1500;NA;0;105;7,523327;0,7229644
71;1500;NA;0;105;7,523327;0,7229644
72;1500;NA;0;105;7,523327;0,7229644
73;1500;NA;0;105;7,523327;0,7229644
74;1500;NA;0;105;7,523327;0,7229644
75;1500;NA;0;105;7,523327;0,7229644
76;1500;NA;0;105;7,523327;0,7229644
77;1500;NA;0;105;7,523327;0,7229644
78;1500;NA;0;105;7,523327;0,7229644
79;1500;NA;0;105;7,523327;0,7229644
80;1500;NA;0;105;7,523327;0,7229644
81;0;24;3;125;5,43137;0,7229644
82;0;24;3;125;5,43137;0,7229644
83;0;24;3;125;5,43137;0,7229644
84;0;24;3;125;5,43137;0,7229644
85;0;24;3;125;5,43137;0,7229644
86;24;72;3;125;5,43137;0,7229644
87;24;72;3;125;5,43137;0,7229644
88;24;72;3;125;5,43137;0,7229644
89;24;72;3;125;5,43137;0,7229644
90;24;72;3;125;5,43137;0,7229644
91;24;72;3;125;5,43137;0,7229644
92;24;72;3;125;5,43137;0,7229644
93;24;72;3;125;5,43137;0,7229644
94;24;72;3;125;5,43137;0,7229644
95;24;72;3;125;5,43137;0,7229644
96;72;168;3;125;5,43137;0,7229644
97;72;168;3;125;5,43137;0,7229644
98;72;168;3;125;5,43137;0,7229644
99;72;168;3;125;5,43137;0,7229644
100;72;168;3;125;5,43137;0,7229644
101;72;168;3;125;5,43137;0,7229644
102;72;168;3;125;5,43137;0,7229644
103;72;168;3;125;5,43137;0,7229644
104;72;168;3;125;5,43137;0,7229644
105;72;168;3;125;5,43137;0,7229644
106;72;168;3;125;5,43137;0,7229644
107;72;168;3;125;5,43137;0,7229644
108;72;168;3;125;5,43137;0,7229644
109;168;300;3;125;5,43137;0,7229644
110;168;300;3;125;5,43137;0,7229644
111;300;500;3;125;5,43137;0,7229644
112;300;500;3;125;5,43137;0,7229644
113;300;500;3;125;5,43137;0,7229644
114;500;750;3;125;5,43137;0,7229644
115;500;750;3;125;5,43137;0,7229644
116;750;1000;3;125;5,43137;0,7229644
117;750;1000;3;125;5,43137;0,7229644
118;1000;1250;3;125;5,43137;0,7229644
119;1250;NA;0;125;5,43137;0,7229644
120;1250;NA;0;125;5,43137;0,7229644
