Num;Start;End;Status;Temp
81;0;24;3;125
82;0;24;3;125
83;0;24;3;125
84;0;24;3;125
85;0;24;3;125
86;24;72;3;125
87;24;72;3;125
88;24;72;3;125
89;24;72;3;125
90;24;72;3;125
91;24;72;3;125
92;24;72;3;125
93;24;72;3;125
94;24;72;3;125
95;24;72;3;125
96;72;168;3;125
97;72;168;3;125
98;72;168;3;125
99;72;168;3;125
100;72;168;3;125
101;72;168;3;125
102;72;168;3;125
103;72;168;3;125
104;72;168;3;125
105;72;168;3;125
106;72;168;3;125
107;72;168;3;125
108;72;168;3;125
109;168;300;3;125
110;168;300;3;125
111;300;500;3;125
112;300;500;3;125
113;300;500;3;125
114;500;750;3;125
115;500;750;3;125
116;750;1000;3;125
117;750;1000;3;125
118;1000;1250;3;125
119;1250;NA;0;125
120;1250;NA;0;125
