Num;Start;End;Status;Temp
1;0;24;3;T85
2;168;300;3;T85
3;500;750;3;T85
4;500;750;3;T85
5;500;750;3;T85
6;1000;1250;3;T85
7;1250;1500;3;T85
8;1250;1500;3;T85
9;1500;Inf;0;T85
10;1500;Inf;0;T85
11;1500;Inf;0;T85
12;1500;Inf;0;T85
13;1500;Inf;0;T85
14;1500;Inf;0;T85
15;1500;Inf;0;T85
16;1500;Inf;0;T85
17;1500;Inf;0;T85
18;1500;Inf;0;T85
19;1500;Inf;0;T85
20;1500;Inf;0;T85
21;1500;Inf;0;T85
22;1500;Inf;0;T85
23;1500;Inf;0;T85
24;1500;Inf;0;T85
25;1500;Inf;0;T85
26;1500;Inf;0;T85
27;1500;Inf;0;T85
28;1500;Inf;0;T85
29;1500;Inf;0;T85
30;1500;Inf;0;T85
31;1500;Inf;0;T85
32;1500;Inf;0;T85
33;1500;Inf;0;T85
34;1500;Inf;0;T85
35;1500;Inf;0;T85
36;1500;Inf;0;T85
37;1500;Inf;0;T85
38;1500;Inf;0;T85
39;1500;Inf;0;T85
40;1500;Inf;0;T85
